0	49
1	37
2	4
3	36
4	9
5	28
6	11
7	59
8	52
9	93
10	65
11	3
12	28
13	72
14	39
15	40
16	93
17	69
18	49
19	37
20	12
21	75
22	27
23	87
24	10
25	13
26	59
27	60
28	97
29	51
30	42
31	87
32	22
33	80
34	18
35	31
36	63
37	65
38	100
39	14
40	45
41	89
42	32
43	51
44	89
45	38
46	87
47	14
48	79
49	50
50	56
51	59
52	14
53	17
54	89
55	8
56	12
57	28
58	52
59	59
60	14
61	3
62	55
63	83
64	38
65	92
66	45
67	4
68	24
69	69
70	67
71	2
72	74
73	99
74	52
75	52
76	22
77	52
78	64
79	75
80	40
81	19
82	84
83	8
84	97
85	86
86	78
87	26
88	91
89	46
90	64
91	7
92	93
93	37
94	100
95	7
96	32
97	95
98	59
99	57
