A,0,0,-2
A,0,1,-5
A,0,2,-17
A,0,3,12
A,0,4,12
A,0,5,-16
A,0,6,-17
A,0,7,10
A,0,8,9
A,0,9,-15
A,0,10,17
A,0,11,14
A,0,12,-1
A,0,13,12
A,0,14,14
A,0,15,-20
A,1,0,17
A,1,1,2
A,1,2,20
A,1,3,16
A,1,4,-15
A,1,5,8
A,1,6,-10
A,1,7,4
A,1,8,19
A,1,9,6
A,1,10,5
A,1,11,9
A,1,12,-4
A,1,13,2
A,1,14,-11
A,1,15,4
A,2,0,7
A,2,1,9
A,2,2,-7
A,2,3,-6
A,2,4,-14
A,2,5,8
A,2,6,16
A,2,7,20
A,2,8,-8
A,2,9,6
A,2,10,-9
A,2,11,9
A,2,12,-19
A,2,13,15
A,2,14,-3
A,2,15,-15
V,0,-1,-1
V,1,-1,14
V,2,-1,-5
V,3,-1,7
V,4,-1,5
V,5,-1,-17
V,6,-1,5
V,7,-1,19
V,8,-1,3
V,9,-1,16
V,10,-1,13
V,11,-1,-18
V,12,-1,-1
V,13,-1,-20
V,14,-1,16
V,15,-1,12
